label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
kn_bm_n8_l0.6_r1,open,8,1,0.60,200,128,137,136,0,0,87.7,0.69,1.47,0.18,37,2344,4006,15.6,40.7,48.6,78,83,88,89,95,100,0,1,8,0.948,STABLE
kn_bm_n8_l0.55_r1,open,8,1,0.55,218,128,138,137,0,0,81.0,0.63,1.13,0.11,29,1731,2762,15.4,32.5,40.8,73,78,81,91,96,100,0,1,7,0.945,STABLE
kn_bm_n8_l0.65_r1,open,8,1,0.65,184,128,136,136,0,0,94.6,0.74,1.85,0.37,42,3884,6312,15.7,48.9,49.2,77,82,93,82,87,99,0,4,9,0.951,STABLE
kn_bm_n8_l0.7_r1,open,8,1,0.70,171,128,136,136,0,0,101.8,0.80,2.16,0.57,46,5211,8960,23.9,49.1,57.0,78,87,97,76,85,95,0,7,11,0.951,STABLE
kn_bmmps_n8_l0.6_r1,open,8,1,0.60,200,128,137,136,0,0,87.7,0.69,1.00,0.06,35,912,1686,7.9,24.6,29.3,84,88,88,96,100,100,0,1,5,0.948,STABLE
kn_bmmps_n8_l0.55_r1,open,8,1,0.55,218,128,138,137,0,0,81.0,0.63,0.89,0.05,24,909,1258,7.1,24.4,24.9,79,81,81,98,100,100,0,1,5,0.945,STABLE
kn_bmmps_n8_l0.65_r1,open,8,1,0.65,184,128,136,136,0,0,94.6,0.74,1.12,0.09,38,1030,2038,12.7,24.7,30.5,90,93,95,95,99,100,0,1,6,0.951,STABLE
kn_bmmps_n8_l0.7_r1,open,8,1,0.70,171,128,136,136,0,0,101.8,0.80,1.31,0.11,38,1424,2234,12.8,24.7,30.7,94,100,102,92,98,100,0,1,7,0.951,STABLE
kn_ucx_n8_l0.6_r1,open,8,1,0.60,200,128,137,136,0,0,87.7,0.69,0.89,0.04,104,1122,1584,7.2,18.7,24.5,83,88,88,94,100,100,0,1,6,0.948,STABLE
kn_ucx_n8_l0.55_r1,open,8,1,0.55,218,128,138,137,0,0,81.0,0.63,0.78,0.03,33,813,1442,7.2,13.0,18.8,78,81,81,96,100,100,0,1,5,0.945,STABLE
kn_ucx_n8_l0.65_r1,open,8,1,0.65,184,128,136,136,0,0,94.6,0.74,0.97,0.06,184,1118,1992,7.3,18.6,18.9,90,94,95,95,99,100,0,1,6,0.951,STABLE
kn_ucx_n8_l0.7_r1,open,8,1,0.70,171,128,136,136,0,0,101.8,0.80,1.10,0.09,189,1413,2360,12.5,18.7,19.0,92,100,102,90,98,100,0,1,6,0.951,STABLE
kn_bm_n8_l0.65_r2,open,8,1,0.65,184,128,113,112,0,0,78.6,0.61,1.14,0.29,35,4179,7366,15.5,40.6,40.9,65,69,76,83,88,96,0,8,9,0.906,STABLE
kn_bm_n8_l0.6_r2,open,8,1,0.60,200,128,113,112,0,0,72.3,0.56,1.00,0.22,34,2935,5662,15.5,32.8,40.9,62,63,71,86,88,98,0,7,8,0.912,STABLE
kn_bm_n8_l0.55_r2,open,8,1,0.55,218,128,114,112,0,0,66.9,0.52,0.87,0.15,31,2499,5081,8.9,32.6,40.7,58,62,66,86,93,98,0,6,8,0.923,STABLE
kn_bm_n8_l0.7_r2,open,8,1,0.70,171,128,113,112,0,0,84.6,0.66,1.35,0.40,41,5311,7714,15.6,40.7,41.0,66,71,80,78,84,95,0,8,10,0.906,STABLE
kn_bmmps_n8_l0.65_r2,open,8,1,0.65,184,128,113,112,0,0,78.6,0.61,0.91,0.15,38,2256,3861,12.8,24.7,30.5,70,74,79,88,95,100,0,4,7,0.906,STABLE
kn_bmmps_n8_l0.6_r2,open,8,1,0.60,200,128,113,112,0,0,72.3,0.56,0.80,0.11,38,1910,3504,9.5,24.6,25.3,66,69,72,91,96,100,0,6,7,0.912,STABLE
kn_bmmps_n8_l0.55_r2,open,8,1,0.55,218,128,114,112,0,0,66.9,0.52,0.70,0.08,36,1749,2506,7.1,24.4,24.7,62,64,67,92,96,100,0,5,6,0.923,STABLE
kn_bmmps_n8_l0.7_r2,open,8,1,0.70,171,128,112,112,0,0,83.8,0.65,1.02,0.19,39,2493,4446,12.8,24.8,30.7,72,79,84,86,95,100,0,6,8,0.904,STABLE
kn_ucx_n8_l0.65_r2,open,8,1,0.65,184,128,113,112,0,0,78.6,0.61,0.71,0.09,189,2500,4127,7.3,18.7,19.0,67,74,79,85,94,100,0,5,7,0.906,STABLE
kn_ucx_n8_l0.6_r2,open,8,1,0.60,200,128,113,112,0,0,72.3,0.56,0.68,0.09,172,1809,3102,7.2,18.7,19.0,64,69,72,88,96,100,0,6,6,0.912,STABLE
kn_ucx_n8_l0.55_r2,open,8,1,0.55,218,128,114,112,0,0,66.9,0.52,0.59,0.04,68,2057,3025,7.2,14.8,18.9,61,63,67,91,95,100,0,5,6,0.923,STABLE
kn_ucx_n8_l0.7_r2,open,8,1,0.70,171,128,112,112,0,0,83.8,0.65,0.82,0.14,190,2153,4807,10.0,18.7,19.1,70,78,83,84,93,99,0,5,8,0.904,STABLE
kn_bm_n8_l0.7_r3,open,8,1,0.70,171,128,122,121,0,0,91.3,0.71,1.39,0.23,36,2225,4431,15.5,32.6,40.9,79,86,91,87,94,99,0,1,7,0.908,STABLE
kn_bm_n8_l0.6_r3,open,8,1,0.60,200,128,123,122,0,0,78.7,0.61,1.07,0.11,34,1819,2817,15.3,32.3,32.7,72,76,79,91,97,100,0,1,6,0.912,STABLE
kn_bm_n8_l0.65_r3,open,8,1,0.65,184,128,122,122,0,0,84.9,0.66,1.23,0.16,34,1872,3434,15.4,32.3,37.4,75,81,84,89,95,99,0,1,7,0.908,STABLE
kn_bm_n8_l0.55_r3,open,8,1,0.55,218,128,123,122,0,0,72.2,0.56,0.91,0.07,32,1639,2356,7.0,25.3,32.5,67,71,72,93,98,100,0,1,5,0.912,STABLE
kn_bmmps_n8_l0.7_r3,open,8,1,0.70,171,128,122,121,0,0,91.3,0.71,1.07,0.11,38,1528,2343,12.8,24.5,24.7,85,90,91,93,98,100,0,1,5,0.908,STABLE
kn_bmmps_n8_l0.6_r3,open,8,1,0.60,200,128,122,122,0,0,78.1,0.61,0.83,0.07,38,1414,2007,7.1,18.8,24.7,74,77,78,94,98,100,0,1,4,0.908,STABLE
kn_bmmps_n8_l0.65_r3,open,8,1,0.65,184,128,122,122,0,0,84.9,0.66,0.95,0.08,38,1454,2221,10.8,18.9,24.7,80,83,85,94,98,100,0,1,5,0.908,STABLE
kn_bmmps_n8_l0.55_r3,open,8,1,0.55,218,128,123,122,0,0,72.2,0.56,0.74,0.05,24,1306,1512,7.1,18.7,19.0,68,72,72,94,100,100,0,1,4,0.912,STABLE
kn_ucx_n8_l0.7_r3,open,8,1,0.70,171,128,116,121,6,0,86.8,0.68,0.85,0.09,118,1526,2479,7.2,12.9,18.7,79,85,87,91,98,100,0,1,5,0.841,UNSTABLE
kn_ucx_n8_l0.6_r3,open,8,1,0.60,200,128,115,122,7,0,73.6,0.57,0.70,0.06,33,1477,2126,7.2,12.9,18.7,69,72,74,94,98,100,0,1,4,0.827,UNSTABLE
kn_ucx_n8_l0.65_r3,open,8,1,0.65,184,128,115,122,7,0,80.0,0.62,0.78,0.08,102,1511,2360,7.2,12.9,18.7,74,79,80,92,98,100,0,1,4,0.827,UNSTABLE
kn_ucx_n8_l0.55_r3,open,8,1,0.55,218,128,116,122,7,0,68.1,0.53,0.64,0.05,32,1376,1545,7.2,12.9,18.7,64,68,68,94,99,100,0,1,4,0.831,UNSTABLE
kn_bm_n4_l0.6_r1,open,4,1,0.60,200,128,137,136,0,0,87.7,0.69,1.16,0.30,36,2569,3773,15.3,24.5,32.5,72,79,88,82,91,100,0,1,6,0.995,STABLE
kn_bm_n4_l0.55_r1,open,4,1,0.55,218,128,138,137,0,0,81.0,0.63,0.97,0.18,33,2121,2891,7.0,24.2,32.1,70,76,81,87,93,100,0,1,5,0.996,STABLE
kn_bm_n4_l0.65_r1,open,4,1,0.65,184,128,136,136,0,0,94.6,0.74,1.40,0.55,39,3920,4965,15.5,32.3,32.6,69,75,94,73,79,99,0,3,7,0.996,STABLE
kn_bm_n4_l0.7_r1,open,4,1,0.70,171,128,136,136,0,0,101.8,0.80,1.62,0.87,43,5665,9288,15.6,32.5,32.8,71,79,95,70,77,93,0,6,10,0.996,STABLE
kn_bmmps_n4_l0.6_r1,open,4,1,0.60,200,128,137,136,0,0,87.7,0.69,0.89,0.14,38,1615,2554,7.1,18.7,20.0,80,86,88,91,99,100,0,1,5,0.995,STABLE
kn_bmmps_n4_l0.55_r1,open,4,1,0.55,218,128,138,137,0,0,81.0,0.63,0.78,0.10,24,1475,2224,7.1,18.7,19.0,74,80,81,91,99,100,0,1,5,0.996,STABLE
kn_bmmps_n4_l0.65_r1,open,4,1,0.65,184,128,136,136,0,0,94.6,0.74,1.02,0.17,38,1788,2826,7.2,18.7,24.4,85,93,95,90,98,100,0,1,5,0.996,STABLE
kn_bmmps_n4_l0.7_r1,open,4,1,0.70,171,128,136,136,0,0,101.8,0.80,1.14,0.22,38,1931,3062,12.7,18.8,24.7,91,98,102,89,96,100,0,1,5,0.996,STABLE
kn_ucx_n4_l0.6_r1,open,4,1,0.60,200,128,137,136,0,0,87.7,0.69,0.86,0.13,79,1723,2679,7.2,12.9,18.7,80,85,88,91,97,100,0,1,5,0.995,STABLE
kn_ucx_n4_l0.55_r1,open,4,1,0.55,218,128,138,137,0,0,81.0,0.63,0.77,0.09,32,1514,2406,7.2,12.9,18.7,74,79,81,91,98,100,0,1,5,0.996,STABLE
kn_ucx_n4_l0.65_r1,open,4,1,0.65,184,128,137,136,0,0,95.3,0.74,0.96,0.16,184,1870,2958,7.2,13.0,18.8,86,93,95,90,97,100,0,1,5,0.995,STABLE
kn_ucx_n4_l0.7_r1,open,4,1,0.70,171,128,136,136,0,0,101.8,0.80,1.07,0.22,186,2073,3186,7.3,14.1,18.9,88,95,102,86,93,100,0,1,6,0.996,STABLE
kn_bm_n4_l0.65_r2,open,4,1,0.65,184,128,113,112,0,0,78.6,0.61,0.93,0.39,37,4669,7155,7.8,24.4,32.7,61,65,75,77,82,96,0,8,9,0.978,STABLE
