label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
kn_bm_n8_l0.6_r1,open,8,1,0.60,200,128,137,136,0,0,87.7,0.69,1.47,0.18,37,2344,4006,15.6,40.7,48.6,78,83,88,89,95,100,0,1,8,0.948,STABLE
kn_bm_n8_l0.55_r1,open,8,1,0.55,218,128,138,137,0,0,81.0,0.63,1.13,0.11,29,1731,2762,15.4,32.5,40.8,73,78,81,91,96,100,0,1,7,0.945,STABLE
kn_bm_n8_l0.65_r1,open,8,1,0.65,184,128,136,136,0,0,94.6,0.74,1.85,0.37,42,3884,6312,15.7,48.9,49.2,77,82,93,82,87,99,0,4,9,0.951,STABLE
kn_bm_n8_l0.7_r1,open,8,1,0.70,171,128,136,136,0,0,101.8,0.80,2.16,0.57,46,5211,8960,23.9,49.1,57.0,78,87,97,76,85,95,0,7,11,0.951,STABLE
kn_bmmps_n8_l0.6_r1,open,8,1,0.60,200,128,137,136,0,0,87.7,0.69,1.00,0.06,35,912,1686,7.9,24.6,29.3,84,88,88,96,100,100,0,1,5,0.948,STABLE
kn_bmmps_n8_l0.55_r1,open,8,1,0.55,218,128,138,137,0,0,81.0,0.63,0.89,0.05,24,909,1258,7.1,24.4,24.9,79,81,81,98,100,100,0,1,5,0.945,STABLE
kn_bmmps_n8_l0.65_r1,open,8,1,0.65,184,128,136,136,0,0,94.6,0.74,1.12,0.09,38,1030,2038,12.7,24.7,30.5,90,93,95,95,99,100,0,1,6,0.951,STABLE
kn_bmmps_n8_l0.7_r1,open,8,1,0.70,171,128,136,136,0,0,101.8,0.80,1.31,0.11,38,1424,2234,12.8,24.7,30.7,94,100,102,92,98,100,0,1,7,0.951,STABLE
kn_ucx_n8_l0.6_r1,open,8,1,0.60,200,128,137,136,0,0,87.7,0.69,0.89,0.04,104,1122,1584,7.2,18.7,24.5,83,88,88,94,100,100,0,1,6,0.948,STABLE
kn_ucx_n8_l0.55_r1,open,8,1,0.55,218,128,138,137,0,0,81.0,0.63,0.78,0.03,33,813,1442,7.2,13.0,18.8,78,81,81,96,100,100,0,1,5,0.945,STABLE
kn_ucx_n8_l0.65_r1,open,8,1,0.65,184,128,136,136,0,0,94.6,0.74,0.97,0.06,184,1118,1992,7.3,18.6,18.9,90,94,95,95,99,100,0,1,6,0.951,STABLE
kn_ucx_n8_l0.7_r1,open,8,1,0.70,171,128,136,136,0,0,101.8,0.80,1.10,0.09,189,1413,2360,12.5,18.7,19.0,92,100,102,90,98,100,0,1,6,0.951,STABLE
kn_bm_n8_l0.65_r2,open,8,1,0.65,184,128,113,112,0,0,78.6,0.61,1.14,0.29,35,4179,7366,15.5,40.6,40.9,65,69,76,83,88,96,0,8,9,0.906,STABLE
kn_bm_n8_l0.6_r2,open,8,1,0.60,200,128,113,112,0,0,72.3,0.56,1.00,0.22,34,2935,5662,15.5,32.8,40.9,62,63,71,86,88,98,0,7,8,0.912,STABLE
kn_bm_n8_l0.55_r2,open,8,1,0.55,218,128,114,112,0,0,66.9,0.52,0.87,0.15,31,2499,5081,8.9,32.6,40.7,58,62,66,86,93,98,0,6,8,0.923,STABLE
kn_bm_n8_l0.7_r2,open,8,1,0.70,171,128,113,112,0,0,84.6,0.66,1.35,0.40,41,5311,7714,15.6,40.7,41.0,66,71,80,78,84,95,0,8,10,0.906,STABLE
kn_bmmps_n8_l0.65_r2,open,8,1,0.65,184,128,113,112,0,0,78.6,0.61,0.91,0.15,38,2256,3861,12.8,24.7,30.5,70,74,79,88,95,100,0,4,7,0.906,STABLE
kn_bmmps_n8_l0.6_r2,open,8,1,0.60,200,128,113,112,0,0,72.3,0.56,0.80,0.11,38,1910,3504,9.5,24.6,25.3,66,69,72,91,96,100,0,6,7,0.912,STABLE
kn_bmmps_n8_l0.55_r2,open,8,1,0.55,218,128,114,112,0,0,66.9,0.52,0.70,0.08,36,1749,2506,7.1,24.4,24.7,62,64,67,92,96,100,0,5,6,0.923,STABLE
kn_bmmps_n8_l0.7_r2,open,8,1,0.70,171,128,112,112,0,0,83.8,0.65,1.02,0.19,39,2493,4446,12.8,24.8,30.7,72,79,84,86,95,100,0,6,8,0.904,STABLE
kn_ucx_n8_l0.65_r2,open,8,1,0.65,184,128,113,112,0,0,78.6,0.61,0.71,0.09,189,2500,4127,7.3,18.7,19.0,67,74,79,85,94,100,0,5,7,0.906,STABLE
kn_ucx_n8_l0.6_r2,open,8,1,0.60,200,128,113,112,0,0,72.3,0.56,0.68,0.09,172,1809,3102,7.2,18.7,19.0,64,69,72,88,96,100,0,6,6,0.912,STABLE
